frame.time_delta,frame.len,ip.ttl,ip.len,Protocol,label
0.002598,97,60,97,UDP,Normal
0.019969,95,95,95,TCP,Normal
0.012979,90,84,90,ICMP,Normal
0.006145,108,120,108,TCP,Normal
0.004228,106,112,106,TCP,Normal
0.012023,97,90,97,TCP,Normal
0.012525,94,111,94,UDP,Normal
0.009067,111,90,111,TCP,Normal
0.007864,116,88,116,ICMP,Normal
0.014652,63,86,63,UDP,Normal
0.016038,93,86,93,TCP,Normal
0.015045,74,64,74,ICMP,Normal
0.015017,83,111,83,ICMP,Normal
0.019322,83,103,83,ICMP,Normal
0.007218,111,113,111,UDP,Normal
0.017328,112,128,112,TCP,Normal
0.01136,119,102,119,ICMP,Normal
0.003913,88,118,88,ICMP,Normal
0.018275,80,87,80,UDP,Normal
0.014971,75,77,75,UDP,Normal
0.002855,69,59,69,TCP,Normal
0.005344,82,120,82,ICMP,Normal
0.011789,119,115,119,TCP,Normal
0.002881,79,80,79,TCP,Normal
0.002989,71,110,71,UDP,Normal
0.016902,97,111,97,ICMP,Normal
0.002781,102,77,102,TCP,Normal
0.01566,85,68,85,UDP,Normal
0.007698,106,57,106,ICMP,Normal
0.018675,65,72,65,UDP,Normal
0.016879,68,99,68,TCP,Normal
0.007485,117,59,117,UDP,Normal
0.001289,115,92,115,UDP,Normal
0.010023,98,106,98,ICMP,Normal
0.003633,75,123,75,TCP,Normal
0.001794,109,106,109,TCP,Normal
0.009632,116,89,116,ICMP,Normal
0.005396,79,92,79,TCP,Normal
0.00588,113,106,113,UDP,Normal
0.005185,112,117,112,TCP,Normal
0.008207,98,121,98,TCP,Normal
0.009176,74,84,74,UDP,Normal
0.01597,97,89,97,TCP,Normal
0.018887,67,60,67,UDP,Normal
0.019858,73,70,73,ICMP,Normal
0.01674,119,90,119,TCP,Normal
0.01175,74,84,74,UDP,Normal
0.014129,70,64,70,UDP,Normal
0.017417,95,50,95,ICMP,Normal
0.012262,86,83,86,ICMP,Normal
0.002757,75,63,75,TCP,Normal
0.01564,82,95,82,ICMP,Normal
0.016416,88,94,88,ICMP,Normal
0.019207,119,74,119,UDP,Normal
0.014069,106,71,106,UDP,Normal
0.008748,72,88,72,TCP,Normal
0.007542,110,54,110,UDP,Normal
0.014285,98,70,98,TCP,Normal
0.015924,115,116,115,UDP,Normal
0.017123,90,72,90,UDP,Normal
0.00259,84,118,84,ICMP,Normal
0.007741,89,80,89,ICMP,Normal
0.014486,117,90,117,ICMP,Normal
0.010784,66,65,66,ICMP,Normal
0.003186,92,76,92,UDP,Normal
0.002264,74,65,74,ICMP,Normal
0.006682,117,100,117,UDP,Normal
0.001476,102,53,102,ICMP,Normal
0.009018,87,113,87,TCP,Normal
0.002709,67,66,67,ICMP,Normal
0.018549,66,101,66,TCP,Normal
0.003869,82,61,82,TCP,Normal
0.0141,69,108,69,TCP,Normal
0.007141,93,108,93,UDP,Normal
0.015993,69,90,69,UDP,Normal
0.001676,95,103,95,UDP,Normal
0.015531,60,69,60,UDP,Normal
0.019879,60,86,60,ICMP,Normal
0.017811,76,69,76,UDP,Normal
0.0104,120,69,120,ICMP,Normal
0.002178,103,113,103,TCP,Normal
0.012826,90,62,90,TCP,Normal
0.017742,80,67,80,ICMP,Normal
0.012716,75,115,75,ICMP,Normal
0.01797,99,79,99,ICMP,Normal
0.012405,101,73,101,TCP,Normal
0.005963,60,58,60,ICMP,Normal
0.001255,60,79,60,UDP,Normal
0.008899,62,98,62,UDP,Normal
0.016853,109,60,109,ICMP,Normal
0.007877,112,125,112,ICMP,Normal
0.015295,119,83,119,ICMP,Normal
0.009392,94,51,94,UDP,Normal
0.002641,100,116,100,ICMP,Normal
0.003141,61,114,61,UDP,Normal
0.019632,115,122,115,ICMP,Normal
0.008796,80,107,80,UDP,Normal
0.004423,108,76,108,ICMP,Normal
0.019027,120,64,120,ICMP,Normal
0.006217,103,93,103,TCP,Normal
0.01401,88,62,88,ICMP,Normal
0.012269,116,91,116,TCP,Normal
0.006579,92,108,92,TCP,Normal
0.00681,88,51,88,TCP,Normal
0.00342,109,73,109,UDP,Normal
0.015791,102,64,102,TCP,Normal
0.018728,105,63,105,ICMP,Normal
0.016857,80,84,80,UDP,Normal
0.009364,116,100,116,UDP,Normal
0.003563,74,101,74,UDP,Normal
0.017127,116,116,116,ICMP,Normal
0.002483,64,105,64,TCP,Normal
0.015431,60,71,60,ICMP,Normal
0.017511,72,50,72,ICMP,Normal
0.011571,94,128,94,UDP,Normal
0.017904,99,93,99,ICMP,Normal
0.002438,104,119,104,ICMP,Normal
0.011157,84,50,84,UDP,Normal
0.003865,120,54,120,TCP,Normal
0.003128,76,108,76,UDP,Normal
0.004265,103,93,103,UDP,Normal
0.001267,73,113,73,ICMP,Normal
0.015651,93,121,93,ICMP,Normal
0.01367,65,74,65,UDP,Normal
0.017843,96,121,96,ICMP,Normal
0.017623,112,61,112,TCP,Normal
0.014209,117,63,117,ICMP,Normal
0.016554,80,74,80,TCP,Normal
0.01351,102,96,102,ICMP,Normal
0.002498,111,54,111,ICMP,Normal
0.014101,92,108,92,UDP,Normal
0.016544,111,114,111,UDP,Normal
0.007508,91,82,91,ICMP,Normal
0.005685,93,82,93,TCP,Normal
0.00138,75,61,75,ICMP,Normal
0.002567,62,76,62,TCP,Normal
0.015846,117,85,117,TCP,Normal
0.015847,99,101,99,TCP,Normal
0.017558,97,87,97,ICMP,Normal
0.01284,87,69,87,ICMP,Normal
0.007504,89,81,89,TCP,Normal
0.017516,108,91,108,ICMP,Normal
0.01444,82,93,82,UDP,Normal
0.00152,83,78,83,ICMP,Normal
0.005542,91,100,91,TCP,Normal
0.013146,77,102,77,TCP,Normal
0.004103,112,96,112,UDP,Normal
0.004316,118,108,118,UDP,Normal
0.010936,117,80,117,UDP,Normal
0.018951,111,96,111,TCP,Normal
0.01074,60,63,60,UDP,Normal
0.012595,108,60,108,ICMP,Normal
0.015358,85,119,85,TCP,Normal
0.009473,75,50,75,ICMP,Normal
0.01197,103,75,103,ICMP,Normal
0.012056,107,61,107,UDP,Normal
0.006317,76,123,76,ICMP,Normal
0.015084,87,75,87,TCP,Normal
0.01844,108,112,108,TCP,Normal
0.003497,77,92,77,UDP,Normal
0.018347,119,79,119,TCP,Normal
0.003464,86,90,86,UDP,Normal
0.019294,116,83,116,TCP,Normal
0.009863,114,101,114,TCP,Normal
0.003389,107,52,107,ICMP,Normal
0.00634,73,70,73,TCP,Normal
0.009743,71,57,71,TCP,Normal
0.01414,112,79,112,ICMP,Normal
0.00997,73,96,73,UDP,Normal
0.007217,77,82,77,UDP,Normal
0.019559,86,80,86,UDP,Normal
0.019928,94,69,94,UDP,Normal
0.005944,88,59,88,ICMP,Normal
0.001297,66,74,66,UDP,Normal
0.013944,106,54,106,ICMP,Normal
0.006471,90,76,90,UDP,Normal
0.015286,102,80,102,TCP,Normal
0.017714,71,105,71,ICMP,Normal
0.010786,95,50,95,TCP,Normal
0.008313,67,96,67,ICMP,Normal
0.018205,60,96,60,ICMP,Normal
0.005344,112,78,112,ICMP,Normal
0.006608,108,111,108,UDP,Normal
0.012681,81,99,81,TCP,Normal
0.007046,92,114,92,ICMP,Normal
0.004416,72,101,72,UDP,Normal
0.005374,98,55,98,UDP,Normal
0.019105,83,98,83,ICMP,Normal
0.003651,94,97,94,UDP,Normal
0.004013,111,91,111,TCP,Normal
0.004099,62,128,62,TCP,Normal
0.016132,112,121,112,TCP,Normal
0.015849,107,80,107,ICMP,Normal
0.007362,92,116,92,UDP,Normal
0.001728,105,76,105,UDP,Normal
0.00808,92,58,92,UDP,Normal
0.012285,89,124,89,UDP,Normal
0.007683,106,86,106,UDP,Normal
0.015601,115,118,115,TCP,Normal
0.005616,88,83,88,UDP,Normal
0.016195,67,65,67,ICMP,Normal
0.0127,61,70,61,ICMP,Normal
0.006815,119,51,119,ICMP,Normal
0.011817,89,80,89,TCP,Normal
0.002929,71,104,71,UDP,Normal
0.00407,97,89,97,ICMP,Normal
0.014705,64,59,64,ICMP,Normal
0.015046,71,56,71,ICMP,Normal
0.019529,82,85,82,TCP,Normal
0.008778,105,116,105,UDP,Normal
0.010101,108,98,108,UDP,Normal
0.016906,69,52,69,UDP,Normal
0.004881,106,51,106,TCP,Normal
0.005549,87,80,87,UDP,Normal
0.016003,86,100,86,ICMP,Normal
0.00729,92,54,92,TCP,Normal
0.016057,76,89,76,ICMP,Normal
0.002839,101,116,101,ICMP,Normal
0.001946,64,68,64,ICMP,Normal
0.002872,73,111,73,TCP,Normal
0.014445,95,57,95,ICMP,Normal
0.015954,111,84,111,UDP,Normal
0.015355,78,128,78,UDP,Normal
0.00413,65,92,65,UDP,Normal
0.019708,108,84,108,ICMP,Normal
0.001643,116,126,116,TCP,Normal
0.011735,115,119,115,TCP,Normal
0.017841,85,124,85,TCP,Normal
0.017435,110,107,110,UDP,Normal
0.00998,68,55,68,TCP,Normal
0.016452,100,88,100,ICMP,Normal
0.013409,76,118,76,UDP,Normal
0.007319,87,124,87,TCP,Normal
0.002457,102,85,102,UDP,Normal
0.007879,73,68,73,ICMP,Normal
0.003644,89,76,89,UDP,Normal
0.011436,101,67,101,TCP,Normal
0.00648,110,74,110,TCP,Normal
0.008945,81,102,81,UDP,Normal
0.01302,111,116,111,TCP,Normal
0.019693,103,60,103,ICMP,Normal
0.012636,74,61,74,ICMP,Normal
0.002864,85,55,85,TCP,Normal
0.015831,87,92,87,UDP,Normal
0.001354,115,80,115,ICMP,Normal
0.012256,114,85,114,ICMP,Normal
