ip.src,ip.dst,frame.time_delta,frame.len,ip.ttl,ip.len,Protocol,label
192.168.64.10,192.168.64.3,1.5904968995877462,60,128,80,ICMP,Normal
192.168.64.10,192.168.64.3,4.048333116548168e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,7.902223157539219e-06,98,64,118,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,1.3859981649144271e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,1.2717860557278505e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,0.21965011044759042,46,128,66,ICMP,Normal
192.168.64.10,192.168.64.3,2.5700804888591437e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,29.396271137221675,60,128,80,UDP,Normal
192.168.64.5,192.168.64.3,5.181280483142013,98,128,118,ICMP,Normal
192.168.64.12,192.168.64.3,6.359157693591824e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,9.119063379610576e-06,60,64,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,22.39972629787703,1514,64,1534,ICMP,Normal
192.168.64.10,192.168.64.1,10.005820379774125,46,128,66,ICMP,Normal
192.168.64.10,192.168.64.3,10.567994132514574,1514,128,1534,UDP,Normal
192.168.64.11,192.168.64.3,2.4397322436606373e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,17.49507428735528,98,128,118,UDP,Normal
192.168.64.12,192.168.64.3,5.6381137147008344e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,4.757018903698999,46,64,66,TCP,Normal
192.168.64.10,192.168.64.1,8.06423763425215,1514,128,1534,ICMP,Normal
192.168.64.6,192.168.64.3,7.448067662700711,1514,64,1534,TCP,Normal
192.168.64.10,192.168.64.3,17.00353692298791,60,64,80,TCP,Normal
192.168.64.10,192.168.64.3,7.701975999973743e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,9.364574678700345e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,18.359407593325937,46,128,66,UDP,Normal
192.168.64.11,192.168.64.3,1.719102299558979e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,25.43393548239842,60,64,80,ICMP,Normal
192.168.64.11,192.168.64.3,7.682097414059062e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,3.173601087142934,1514,64,1534,ICMP,Normal
192.168.64.10,192.168.64.3,5.304104878558237,46,64,66,UDP,Normal
192.168.64.7,192.168.64.3,14.602343028695184,98,128,118,ICMP,Normal
192.168.64.12,192.168.64.3,9.358203658592285e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,7.649086973977794e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,7.868761810275648e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,1.496985518493228e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,6.24164928493428,60,128,80,UDP,Normal
192.168.64.10,192.168.64.3,8.211684456974776e-06,98,64,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.1,13.134879598010155,98,64,118,UDP,Normal
192.168.64.12,192.168.64.3,5.6398306592068856e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,2.999959513690917e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.3,29.564068465036378,46,128,66,TCP,Normal
192.168.64.5,192.168.64.1,4.934152657830803,60,128,80,ICMP,Normal
192.168.64.11,192.168.64.3,6.403940998738839e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,29.944958684174466,1514,64,1534,TCP,Normal
192.168.64.10,192.168.64.3,9.699197795152946e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,21.55464837182118,1514,64,1534,UDP,Normal
192.168.64.12,192.168.64.3,8.276585302428701e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,7.834443842450237e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,6.914740486645211e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,4.715907487125571e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,8.70920293154939e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,3.0965241827496713e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,21.343533441857964,46,128,66,ICMP,Normal
192.168.64.11,192.168.64.3,3.476833734215277e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,10.910402603430375,1514,64,1534,ICMP,Normal
192.168.64.10,192.168.64.3,8.499973878344023e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,22.577425400949846,1514,64,1534,TCP,Normal
192.168.64.10,192.168.64.3,5.084783761850166e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,11.554298702124052,60,64,80,UDP,Normal
