ip.src,ip.dst,icmp.type,frame.time_delta,frame.len,ip.ttl,protocol,ip.len,label
192.168.236.33,192.168.152.33,,0.775395687,1269,32,TCP,1283,Normal
192.168.107.155,192.168.184.210,,0.016915175,1459,255,TCP,1471,Normal
192.168.12.55,192.168.117.242,,0.332582687,377,64,ARP,377,Normal
192.168.238.181,192.168.175.83,,0.277186482,259,64,ARP,273,Normal
192.168.73.141,192.168.168.178,,0.645789431,1029,255,UDP,1047,Normal
192.168.114.201,192.168.224.133,11,0.176342196,381,32,ICMP,391,Normal
192.168.77.119,192.168.170.89,,0.813392892,781,64,TCP,791,Normal
192.168.12.106,192.168.239.144,,0.446778512,397,64,ARP,399,Normal
192.168.230.59,192.168.43.250,,0.843301077,342,255,UDP,354,Normal
192.168.238.152,192.168.103.13,0,0.003058572,777,255,ICMP,782,Normal
192.168.75.22,192.168.92.150,,0.414999698,107,64,TCP,112,Normal
192.168.242.246,192.168.31.231,,0.915427746,971,255,TCP,972,Normal
192.168.172.219,192.168.13.70,,0.073990289,784,128,UDP,789,Normal
192.168.147.129,192.168.110.1,8,0.326703337,623,255,ICMP,637,Normal
192.168.37.67,192.168.226.139,,0.715114254,858,128,UDP,864,Normal
192.168.197.254,192.168.237.71,0,0.983391758,649,32,ICMP,660,Normal
192.168.22.229,192.168.187.2,,0.875705812,1074,128,TCP,1078,Normal
192.168.108.26,192.168.168.19,11,0.421343292,1219,64,ICMP,1222,Normal
192.168.15.203,192.168.136.51,,0.53696555,177,32,TCP,193,Normal
192.168.174.133,192.168.173.52,,0.550877532,369,32,TCP,369,Normal
192.168.203.176,192.168.191.210,,0.137834521,117,32,TCP,129,Normal
192.168.74.143,192.168.206.56,,0.319397631,1049,128,UDP,1065,Normal
192.168.82.174,192.168.181.102,8,0.43705505,1213,128,ICMP,1214,Normal
192.168.143.190,192.168.195.25,,0.370371527,415,64,TCP,430,Normal
192.168.255.192,192.168.53.198,0,0.988646487,540,32,ICMP,551,Normal
192.168.89.208,192.168.170.208,,0.585453183,637,128,TCP,645,Normal
192.168.114.120,192.168.50.172,,0.441684277,893,255,ARP,895,Normal
192.168.184.62,192.168.101.168,8,0.860988498,1167,32,ICMP,1175,Normal
192.168.32.80,192.168.200.173,,0.501772005,1360,32,UDP,1376,Normal
192.168.164.180,192.168.226.230,,0.39468977,958,255,ARP,959,Normal
192.168.62.189,192.168.138.142,,0.853648287,1082,255,TCP,1084,Normal
192.168.76.52,192.168.18.124,0,0.817245128,136,64,ICMP,142,Normal
192.168.12.7,192.168.229.135,,0.872914396,811,128,ARP,815,Normal
