timestamp,src_ip,protocol,pkt_len,pkt_rate,pkt_count,ip_ttl,label
1755290513.57408,192.168.202.56,TCP,128,35.7,3,128,Normal
1755280889.069425,192.168.212.220,HTTP,879,290.8,5,128,Normal
1755263339.398061,10.0.1.4,ICMP,60,14864.4,22,64,DDOS-Attack
1755278339.612307,192.168.150.12,ICMP,60,3.4,1,64,Normal
1755278236.202376,192.168.53.93,ICMP,84,20.6,2,128,Normal
1755275294.968231,192.168.190.13,ICMP,84,96.1,2,128,Normal
1755290406.367871,192.168.34.181,ICMP,98,47.6,2,64,Normal
1755267359.080599,192.168.116.186,UDP,553,302.4,3,255,Normal
1755273464.23621,192.168.86.21,TCP,1252,296.1,4,64,Normal
1755289125.405343,192.168.142.124,TCP,1021,422.5,5,255,Normal
1755285192.061615,192.168.23.44,HTTP,1078,389.6,2,64,Normal
1755279750.845526,192.168.17.133,HTTP,1411,162.1,3,64,Normal
1755278951.908403,192.168.53.50,ICMP,60,48.7,1,255,Normal
1755287203.179326,192.168.163.114,HTTP,179,486.2,4,64,Normal
1755264523.590984,192.168.101.218,ICMP,84,60.7,2,255,Normal
1755276312.917286,192.168.76.112,HTTP,344,321.1,3,64,Normal
1755281658.796503,192.168.95.209,UDP,879,326.9,2,64,Normal
1755275920.003671,192.168.223.59,HTTP,736,76.2,2,128,Normal
1755289230.809384,192.168.85.82,UDP,908,127.7,5,255,Normal
1755268326.332311,192.168.193.158,HTTP,620,442.8,5,64,Normal
1755283890.550991,192.168.231.39,UDP,194,305.6,4,255,Normal
1755264117.133591,192.168.64.205,HTTPS,690,4.6,4,255,Normal
1755265480.448226,192.168.41.238,TCP,536,102.3,1,64,Normal
1755278084.949168,192.168.153.71,UDP,1440,358.4,1,128,Normal
1755289847.36961,192.168.190.105,ICMP,60,15.7,4,128,Normal
1755277115.982487,192.168.37.224,HTTPS,523,9.7,2,255,Normal
1755291559.073513,192.168.194.246,HTTP,345,415.7,1,255,Normal
1755282342.001503,192.168.99.229,ICMP,60,2.7,1,64,Normal
1755271997.512672,192.168.207.121,HTTPS,937,227.2,1,255,Normal
1755279146.884603,192.168.92.142,UDP,228,112.0,5,255,Normal
1755291383.981832,192.168.158.178,HTTP,1113,58.6,1,128,Normal
1755264389.542839,192.168.35.222,ICMP,84,21.6,3,255,Normal
1755267858.013732,192.168.110.128,HTTP,752,41.7,1,255,Normal
1755290060.605558,192.168.119.113,UDP,1323,263.6,2,128,Normal
1755279891.858933,192.168.29.253,HTTPS,1177,250.4,2,64,Normal
1755286088.492427,192.168.109.167,ICMP,98,53.0,2,255,Normal
1755290096.176415,192.168.67.164,UDP,1139,324.5,2,128,Normal
1755274896.076705,192.168.71.227,HTTP,1461,68.5,4,128,Normal
1755268528.453095,192.168.140.241,UDP,441,417.4,5,128,Normal
1755290917.340353,192.168.253.199,UDP,1223,91.8,1,128,Normal
1755278602.554363,192.168.75.212,UDP,1345,487.1,1,128,Normal
1755278155.13275,192.168.179.77,HTTPS,327,59.2,5,255,Normal
1755270347.442914,192.168.49.249,TCP,235,205.0,2,128,Normal
1755264903.207712,192.168.188.250,TCP,617,132.0,3,128,Normal
1755283968.245774,192.168.155.246,UDP,394,47.8,1,128,Normal
1755285087.429282,192.168.43.242,UDP,1197,194.2,5,128,Normal
1755280766.811962,192.168.176.25,HTTP,759,307.0,3,64,Normal
1755277790.69555,192.168.205.209,HTTPS,1256,271.9,2,128,Normal
1755263339.136815,10.0.1.1,ICMP,60,5780.3,21,64,DDOS-Attack
1755276822.470758,192.168.194.193,HTTPS,391,493.4,1,128,Normal
1755281018.839038,192.168.72.150,UDP,523,124.6,5,64,Normal
1755272317.058241,192.168.54.196,ICMP,84,15.8,4,64,Normal
1755290816.609226,192.168.209.204,UDP,182,65.9,3,128,Normal
1755267505.137405,192.168.51.130,TCP,581,168.5,1,255,Normal
1755272438.232282,192.168.55.249,HTTP,323,198.5,4,64,Normal
1755279636.952034,192.168.167.99,UDP,276,339.3,3,64,Normal
1755284016.150761,192.168.63.73,UDP,960,423.4,5,255,Normal
1755288011.378762,192.168.181.82,HTTP,955,107.3,5,255,Normal
1755267498.110798,192.168.138.160,HTTP,377,56.8,1,255,Normal
1755283823.657368,192.168.44.156,HTTP,1245,62.5,2,64,Normal
1755263337.671774,10.0.3.2,ICMP,60,28629.9,27,64,DDOS-Attack
1755286449.378637,192.168.144.131,TCP,1232,243.5,4,128,Normal
1755264046.359307,192.168.27.143,HTTP,1185,347.9,1,128,Normal
1755274517.69171,192.168.222.75,UDP,84,496.1,2,255,Normal
1755276384.456712,192.168.9.75,TCP,309,170.8,2,128,Normal
1755287502.531367,192.168.247.58,UDP,1099,111.1,3,255,Normal
1755283167.883145,192.168.75.170,ICMP,98,2.2,4,128,Normal
1755278741.278432,192.168.58.101,UDP,832,24.2,4,128,Normal
1755263566.581457,192.168.54.210,UDP,1084,176.5,3,64,Normal
1755272442.966743,192.168.194.20,HTTP,624,80.1,1,255,Normal
1755273798.562889,192.168.169.46,HTTPS,477,255.8,4,255,Normal
1755290946.284626,192.168.133.207,ICMP,60,9.0,3,255,Normal
1755274958.934448,192.168.45.224,HTTPS,1340,424.6,5,255,Normal
1755279432.414327,192.168.102.159,HTTPS,244,119.5,1,64,Normal
1755264194.092625,192.168.134.152,TCP,712,193.1,3,128,Normal
1755266894.300899,192.168.58.62,TCP,138,278.7,4,255,Normal
1755267276.429162,192.168.221.3,HTTP,1079,389.4,5,255,Normal
1755267803.500593,192.168.15.34,HTTP,678,248.2,2,128,Normal
1755267065.727154,192.168.27.138,HTTPS,926,261.0,4,128,Normal
1755287235.467746,192.168.134.34,HTTP,123,72.4,3,64,Normal
1755274577.025645,192.168.30.161,HTTPS,83,432.3,5,64,Normal
1755263338.570059,10.0.3.2,ICMP,60,20815.2,11,64,DDOS-Attack
1755277183.622556,192.168.58.76,HTTP,131,377.5,4,64,Normal
1755290511.75237,192.168.76.219,TCP,1075,337.1,3,255,Normal
1755266506.613031,192.168.115.126,HTTP,1378,18.6,2,255,Normal
1755290161.839874,192.168.42.65,UDP,195,7.6,1,64,Normal
1755284799.923272,192.168.150.21,HTTP,271,39.8,4,128,Normal
1755282789.328013,192.168.244.172,TCP,686,344.4,3,128,Normal
1755268252.352402,192.168.107.198,UDP,423,167.4,1,64,Normal
1755282482.190464,192.168.215.113,HTTP,595,30.0,2,128,Normal
1755265569.54955,192.168.157.123,UDP,370,375.7,5,64,Normal
1755267968.197568,192.168.222.82,TCP,1402,51.0,2,64,Normal
1755287373.765027,192.168.192.58,ICMP,84,62.7,4,255,Normal
1755273548.774282,192.168.241.49,ICMP,84,27.8,5,128,Normal
1755263337.988834,10.0.1.5,ICMP,60,38814.9,27,64,DDOS-Attack
1755281479.799478,192.168.145.71,ICMP,98,4.0,3,255,Normal
1755284168.687146,192.168.197.237,HTTP,1308,219.2,5,255,Normal
1755289108.370598,192.168.113.3,TCP,477,394.0,1,128,Normal
1755277916.271191,192.168.175.157,TCP,490,443.1,2,64,Normal
1755277170.596528,192.168.86.114,UDP,1002,91.8,3,64,Normal
1755263337.128614,10.0.3.2,ICMP,60,43535.2,16,64,DDOS-Attack
1755271812.339693,192.168.87.79,TCP,1480,479.7,2,64,Normal
1755274776.029552,192.168.233.181,UDP,1042,306.4,4,255,Normal
1755272555.585265,192.168.30.64,TCP,1275,56.8,1,64,Normal
1755273997.519365,192.168.11.206,UDP,497,27.3,3,128,Normal
1755284615.574826,192.168.254.73,ICMP,98,20.9,3,255,Normal
1755272080.316025,192.168.57.249,TCP,704,10.0,5,64,Normal
1755269656.612848,192.168.20.110,HTTP,1163,176.7,2,128,Normal
1755273357.544765,192.168.118.229,HTTPS,1251,62.0,4,255,Normal
1755270941.884088,192.168.131.23,UDP,556,113.4,5,255,Normal
1755266789.383012,192.168.43.124,HTTPS,929,484.1,2,64,Normal
1755289807.856279,192.168.23.87,ICMP,98,50.0,3,255,Normal
1755263338.891436,10.0.3.4,ICMP,60,22535.1,12,64,DDOS-Attack
1755281468.772155,192.168.90.73,UDP,133,468.6,4,255,Normal
1755280522.36312,192.168.192.209,HTTPS,663,266.8,2,255,Normal
1755265563.877906,192.168.45.226,HTTPS,1282,129.3,4,255,Normal
1755263338.439122,10.0.1.1,ICMP,60,25626.0,25,64,DDOS-Attack
1755283383.491496,192.168.105.41,UDP,1225,91.4,3,128,Normal
1755279920.851007,192.168.224.75,HTTPS,286,130.8,4,128,Normal
1755274215.615519,192.168.51.195,HTTPS,76,304.6,1,255,Normal
1755275702.846491,192.168.1.211,TCP,660,220.6,2,128,Normal
1755264444.062082,192.168.45.230,UDP,1026,411.4,1,255,Normal
1755286468.489603,192.168.137.154,HTTP,177,340.6,4,64,Normal
1755272639.73323,192.168.4.166,HTTP,600,440.9,1,64,Normal
1755267360.597742,192.168.161.17,HTTPS,289,283.4,4,255,Normal
1755277412.531454,192.168.180.114,TCP,865,292.0,5,255,Normal
1755269170.130588,192.168.244.118,UDP,1030,277.6,4,64,Normal
1755272902.171349,192.168.153.23,UDP,238,60.5,5,64,Normal
1755266926.96068,192.168.83.7,HTTP,620,465.9,1,255,Normal
1755280076.545634,192.168.121.90,ICMP,98,76.2,5,64,Normal
1755277824.090357,192.168.170.234,ICMP,60,34.2,5,64,Normal
1755288041.61586,192.168.141.254,TCP,1077,354.0,2,128,Normal
1755276261.926958,192.168.108.45,UDP,820,339.0,5,64,Normal
1755278105.448187,192.168.250.244,HTTPS,847,451.7,4,255,Normal
1755279108.555676,192.168.147.175,ICMP,98,16.1,1,64,Normal
1755288375.573621,192.168.81.254,ICMP,98,85.8,4,64,Normal
1755267108.33861,192.168.85.233,UDP,1365,350.7,4,64,Normal
1755275092.008661,192.168.73.140,HTTPS,554,134.4,4,128,Normal
1755287770.088124,192.168.30.26,UDP,877,97.0,3,64,Normal
1755265812.721804,192.168.81.155,ICMP,84,86.2,1,64,Normal
1755279542.357557,192.168.51.38,UDP,223,222.5,3,128,Normal
1755274116.336085,192.168.163.232,HTTP,1254,196.8,3,255,Normal
1755281442.36319,192.168.13.154,TCP,245,436.7,2,128,Normal
1755266265.289616,192.168.192.99,HTTPS,1307,415.9,1,128,Normal
1755275388.499932,192.168.8.80,TCP,936,56.4,3,255,Normal
1755276455.398869,192.168.137.171,ICMP,84,3.4,4,128,Normal
