protocol,pkt_len,pkt_rate,pkt_count,ip_ttl,label
ICMP,60,1111.5,48,64,DDOS-Attack
ICMP,60,24852.0,47,64,DDOS-Attack
ICMP,60,19083.9,20,128,DDOS-Attack
TCP,1191,473.6,8,128,Normal
ICMP,60,14501.8,48,128,DDOS-Attack
UDP,1481,396.3,1,255,Normal
UDP,268,364.1,5,255,Normal
ICMP,60,15000.4,38,128,DDOS-Attack
ICMP,60,17368.0,40,64,DDOS-Attack
UDP,963,183.7,5,128,Normal
TCP,64,8118.7,26,64,DDOS-Attack
ICMP,60,29190.2,12,128,DDOS-Attack
UDP,1177,201.3,2,128,Normal
TCP,342,365.4,5,255,Normal
TCP,658,4.5,4,64,Normal
TCP,399,257.9,1,128,Normal
TCP,1104,215.8,2,128,Normal
TCP,1056,435.1,6,255,Normal
TCP,839,268.3,2,64,Normal
ICMP,60,12344.4,33,64,DDOS-Attack
ICMP,161,340.6,7,255,Normal
ICMP,60,27942.4,39,128,DDOS-Attack
TCP,64,13481.9,15,64,DDOS-Attack
TCP,562,293.3,8,255,Normal
TCP,1239,412.4,1,255,Normal
TCP,952,206.0,8,255,Normal
UDP,911,388.3,3,255,Normal
TCP,1176,39.5,6,255,Normal
TCP,1234,328.8,1,64,Normal
TCP,1477,312.6,7,255,Normal
TCP,1379,276.3,3,128,Normal
UDP,570,113.8,5,128,Normal
UDP,1126,492.6,1,64,Normal
UDP,926,376.0,4,255,Normal
TCP,1190,82.0,2,255,Normal
ICMP,942,319.8,6,255,Normal
ICMP,60,21557.3,29,128,DDOS-Attack
UDP,572,8.7,3,128,Normal
UDP,891,297.6,1,128,Normal
TCP,874,414.6,7,128,Normal
UDP,1388,23.5,6,128,Normal
TCP,1313,253.6,3,255,Normal
TCP,636,372.2,7,128,Normal
TCP,781,61.9,4,255,Normal
TCP,921,43.9,6,64,Normal
UDP,645,341.2,5,128,Normal
UDP,60,11557.6,20,128,DDOS-Attack
ICMP,630,173.7,7,255,Normal
ICMP,60,23039.8,31,64,DDOS-Attack
TCP,755,405.5,7,128,Normal
TCP,504,177.0,5,255,Normal
TCP,1439,30.6,4,128,Normal
UDP,1155,332.2,3,128,Normal
UDP,970,374.7,3,64,Normal
TCP,64,8278.2,24,128,DDOS-Attack
TCP,1039,215.6,3,255,Normal
UDP,1282,412.0,4,128,Normal
ICMP,60,28667.2,26,64,DDOS-Attack
UDP,1093,177.5,3,128,Normal
UDP,831,65.0,7,64,Normal
ICMP,101,5.8,1,64,Normal
TCP,904,122.1,4,128,Normal
UDP,1288,23.3,8,128,Normal
UDP,1396,296.6,7,64,Normal
TCP,64,8629.8,49,128,DDOS-Attack
UDP,60,7003.4,14,128,DDOS-Attack
UDP,1134,201.9,1,255,Normal
UDP,445,258.0,8,64,Normal
TCP,540,417.2,5,64,Normal
TCP,980,322.5,3,255,Normal
TCP,1223,64.9,4,255,Normal
TCP,703,294.0,5,255,Normal
TCP,1079,254.7,4,64,Normal
TCP,64,37130.5,33,64,DDOS-Attack
TCP,844,270.4,3,255,Normal
ICMP,60,5076.4,35,64,DDOS-Attack
UDP,1024,23153.5,16,128,DDOS-Attack
TCP,64,10524.2,50,128,DDOS-Attack
TCP,807,214.9,4,64,Normal
ICMP,60,20321.7,37,64,DDOS-Attack
ICMP,60,18618.6,27,128,DDOS-Attack
ICMP,60,4190.1,41,128,DDOS-Attack
UDP,1277,212.6,8,128,Normal
ICMP,1298,63.7,4,128,Normal
UDP,409,461.7,1,255,Normal
TCP,1349,481.7,1,128,Normal
TCP,511,360.4,3,128,Normal
UDP,955,387.8,2,64,Normal
TCP,724,413.2,8,255,Normal
ICMP,60,17706.0,17,64,DDOS-Attack
UDP,1024,18312.0,29,128,DDOS-Attack
ICMP,60,25846.5,19,64,DDOS-Attack
TCP,64,30097.2,41,64,DDOS-Attack
ICMP,60,14551.5,25,64,DDOS-Attack
UDP,1180,146.8,3,64,Normal
ICMP,60,19649.1,43,128,DDOS-Attack
TCP,1172,159.1,2,255,Normal
ICMP,60,21420.6,47,128,DDOS-Attack
ICMP,60,28702.1,49,64,DDOS-Attack
ICMP,60,28343.9,33,64,DDOS-Attack
TCP,443,91.3,4,255,Normal
TCP,102,3.2,4,64,Normal
ICMP,60,24264.2,31,64,DDOS-Attack
TCP,199,44.1,3,64,Normal
UDP,1024,5323.1,34,128,DDOS-Attack
ICMP,60,16438.2,13,64,DDOS-Attack
UDP,1472,217.9,1,128,Normal
TCP,231,437.2,4,255,Normal
TCP,407,242.4,6,128,Normal
ICMP,60,2036.0,25,64,DDOS-Attack
UDP,584,35.0,6,128,Normal
UDP,255,233.4,1,255,Normal
UDP,60,5786.8,15,64,DDOS-Attack
TCP,1276,457.0,5,64,Normal
ICMP,60,19442.9,40,128,DDOS-Attack
TCP,64,5701.8,12,64,DDOS-Attack
TCP,202,221.8,5,64,Normal
